restaurant,name,category,calories,fat,carbs
A&W Restaurants,Original Bacon Double Cheeseburger,Burgers,760,45,45
A&W Restaurants,Coney (Chili) Dog,Entrees,340,20,26
A&W Restaurants,Chili Fries,French Fries,370,15,49
A&W Restaurants,Strawberry Milkshake (small),Shakes,670,29,90
A&W Restaurants,A&W® Root Beer Freeze (large),Shakes,820,18,150
A&W Restaurants,Caramel Sundae,Desserts,340,9,57
A&W Restaurants,Strawberry Banana Smoothee,Shakes,420,6,86
A&W Restaurants,Chocolate Fudge Blendrrr,Desserts,1010,59,152
A&W Restaurants,Strawberry Limeade,Drinks,420,0,105
A&W Restaurants,Watermelon Slushee,Drinks,270,0,73
A&W Restaurants,Lime Slushee,Drinks,480,0,119
A&W Restaurants,A&W® Root Beer,Drinks,880,0,232
A&W Restaurants,Cheeseburger,Burgers,420,21,37
A&W Restaurants,French Fries (Regular),French Fries,310,12,45
A&W Restaurants,Cheese Curds (Large),Sides,1140,80,54
A&W Restaurants,Chocolate Milkshake (small),Shakes,700,29,100
A&W Restaurants,Orange Freeze (small),Shakes,450,8,108
A&W Restaurants,A&W® Diet Root Beer Float (small),Shakes,170,5,30
A&W Restaurants,Strawberry Smoothee,Shakes,610,10,121
A&W Restaurants,Limeade,Drinks,140,0,38
A&W Restaurants,Cherry Limeade,Drinks,340,0,90
A&W Restaurants,Lemon Slushee,Drinks,330,0,82
A&W Restaurants,Blue Raspberry Slushee,Drinks,570,0,142
A&W Restaurants,A&W® Diet Root Beer,Drinks,0,0,0
A&W Restaurants,Grilled Chicken Sandwich,Chicken,400,15,31
A&W Restaurants,French Fries (Large),French Fries,430,17,61
A&W Restaurants,Chili,Sides,190,6,22
A&W Restaurants,Chocolate Milkshake (medium),Shakes,880,36,125
A&W Restaurants,Orange Freeze (medium),Shakes,600,10,142
A&W Restaurants,A&W® Diet Root Beer Float (medium),Shakes,170,5,30
A&W Restaurants,Orange Float (large),Shakes,610,9,137
A&W Restaurants,Reese's® Peanut Butter Fudge Blendrrr,Desserts,700,41,103
A&W Restaurants,Limeade,Drinks,210,0,55
A&W Restaurants,Cherry Limeade,Drinks,530,0,138
A&W Restaurants,Lemon Slushee,Drinks,440,0,110
A&W Restaurants,Blue Raspberry Slushee,Drinks,740,0,182
A&W Restaurants,A&W® Diet Root Beer,Drinks,0,0,0
A&W Restaurants,Original Double Cheeseburger,Burgers,680,38,44
A&W Restaurants,Coney (Chili) Cheese Dog,Entrees,380,23,28
A&W Restaurants,Breaded Onion Rings (Regular),Sides,350,16,45
A&W Restaurants,Strawberry Milkshake (medium),Shakes,840,36,113
A&W Restaurants,A&W® Diet Root Beer Freeze (small),Shakes,260,8,39
A&W Restaurants,A&W® Root Beer Float (small),Shakes,330,5,70
A&W Restaurants,Strawberry Banana Smoothee,Shakes,680,10,137
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,Desserts,340,12,56
A&W Restaurants,Strawberry Limeade,Drinks,560,0,143
A&W Restaurants,Watermelon Slushee,Drinks,360,0,99
A&W Restaurants,Lime Slushee,Drinks,770,0,188
A&W Restaurants,A&W® Root Beer,Drinks,1760,0,464
A&W Restaurants,Papa Single Burger,Burgers,470,25,38
A&W Restaurants,Hot Dog (plain),Entrees,310,19,23
A&W Restaurants,Cheese Fries,French Fries,390,18,50
A&W Restaurants,Reese's® Polar Swirl®,Desserts,740,31,97
A&W Restaurants,A&W® Root Beer Freeze (medium),Shakes,480,10,89
A&W Restaurants,Hot Fudge Sundae,Desserts,350,11,54
A&W Restaurants,Strawberry Banana Smoothee,Shakes,390,6,78
A&W Restaurants,Chocolate Fudge Blendrrr,Desserts,560,32,92
A&W Restaurants,Strawberry Limeade,Drinks,290,0,75
A&W Restaurants,Cherry Slushee,Drinks,900,0,224
A&W Restaurants,Lime Slushee,Drinks,380,0,94
A&W Restaurants,A&W® Root Beer,Drinks,440,0,116
A&W Restaurants,Original Bacon Cheeseburger ,Burgers,530,30,39
A&W Restaurants,Cheese Dog,Entrees,350,22,26
A&W Restaurants,Breaded Onion Rings (Large),Sides,480,27,62
A&W Restaurants,Vanilla Milkshake (small),Shakes,720,31,97
A&W Restaurants,A&W® Diet Root Beer Freeze (medium),Shakes,340,10,53
A&W Restaurants,A&W® Root Beer Float (medium),Shakes,350,5,77
A&W Restaurants,Strawberry Smoothee,Shakes,360,6,70
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,Desserts,430,15,72
A&W Restaurants,Cherry Limeade,Drinks,190,0,51
A&W Restaurants,Watermelon Slushee,Drinks,460,0,124
A&W Restaurants,Blue Raspberry Slushee,Drinks,270,0,67
A&W Restaurants,A&W® Diet Root Beer,Drinks,0,0,0
A&W Restaurants,Hamburger,Burgers,380,19,33
A&W Restaurants,French Fries (Small/ Kids),French Fries,200,8,28
A&W Restaurants,Cheese Curds (Regular),Sides,570,40,27
A&W Restaurants,Vanilla Milkshake (medium,Shakes,900,39,121
A&W Restaurants,A&W® Diet Root Beer Freeze (large),Shakes,600,18,92
A&W Restaurants,A&W® Root Beer Float (large),Shakes,640,10,136
A&W Restaurants,Strawberry Smoothee,Shakes,370,6,74
A&W Restaurants,Oreo® Cookies & Cream Blendrrr,Desserts,650,21,109
A&W Restaurants,Cherry Limeade,Drinks,300,0,79
A&W Restaurants,Watermelon Slushee,Drinks,720,0,197
A&W Restaurants,Blue Raspberry Slushee,Drinks,370,0,91
A&W Restaurants,A&W® Diet Root Beer,Drinks,0,0,0
A&W Restaurants,Chicken Strips- 3 pieces,Chicken,500,29,32
A&W Restaurants,Corn Dog Nuggets® (Regular),Sides,280,13,32
A&W Restaurants,M&M's® Polar Swirl®,Desserts,710,25,107
A&W Restaurants,Vanilla Cone (large),Desserts,260,7,41
A&W Restaurants,Strawberry Sundae,Desserts,300,8,47
A&W Restaurants,Pineapple Banana Smoothee,Shakes,480,6,104
