State,Participation,Composite
Alabama,100%,18.9
Alaska,38%,20.1
Arizona,73%,19
Arkansas,100%,19.3
California,23%,22.6
Colorado,27%,23.8
Connecticut,22%,25.5
Delaware,13%,24.1
District of Columbia,32%,23.5
Florida,54%,20.1
Georgia,49%,21.4
Hawaii,80%,19
Idaho,31%,22.5
Illinois,35%,24.3
Indiana,29%,22.5
Iowa,66%,21.6
Kansas,72%,21.2
Kentucky,100%,19.8
Louisiana,100%,18.8
Maine,6%,24.3
Maryland,28%,22.3
Massachusetts,21%,25.5
Michigan,19%,24.4
Minnesota,95%,21.4
Mississippi,100%,18.4
Missouri,82%,20.8
Montana,100%,19.8
Nebraska,100%,20
Nevada,100%,17.9
New Hampshire,14%,25
New Jersey,25%,24.2
New Mexico,63%,19.3
New York,22%,24.5
North Carolina,100%,19
North Dakota,96%,19.9
Ohio,100%,20
Oklahoma,100%,18.9
Oregon,42%,21.1
Pennsylvania,17%,23.6
Rhode Island,12%,24.7
South Carolina,78%,18.8
South Dakota,75%,21.6
Tennessee,100%,19.4
Texas,39%,20.5
Utah,100%,20.3
Vermont,20%,24.1
Virginia,21%,24
Washington,24%,22.1
West Virginia,49%,20.8
Wisconsin,100%,20.3
Wyoming,100%,19.8
National,52%,20.7
