cds,Ccode,CDcode,Scode,rtype,sname,dname,cname,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,year
0,0,0,0,X,,,,489221,236492,167556,442,167998,71.04,119412,423,119835,50.67,114161,48.27,2017-18
1000000000000,1,100000,0,C,,,Alameda,17476,10058,7694,44,7738,76.93,6160,44,6204,61.68,5981,59.47,2017-18
1100170000000,1,110017,0,D,,Alameda County Office of Education,Alameda,249,90,46,0,46,51.11,20,0,20,22.22,17,18.89,2017-18
1100170112607,1,110017,112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,93,88,44,0,44,50.00,19,0,19,21.59,16,18.18,2017-18
1100170136101,1,110017,136101,S,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,0,2,*,*,*,*,*,*,*,*,*,*,2017-18
1611190000000,1,161119,0,D,,Alameda Unified,Alameda,946,551,465,1,466,84.57,398,1,399,72.41,391,70.96,2017-18
1611190106401,1,161119,106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,43,42,0,42,97.67,41,0,41,95.35,41,95.35,2017-18
1611190119222,1,161119,119222,S,Nea Community Learning Center,Alameda Unified,Alameda,30,19,14,0,14,73.68,7,0,7,36.84,7,36.84,2017-18
1611190130229,1,161119,130229,S,Alameda High,Alameda Unified,Alameda,447,309,277,1,278,89.97,241,1,242,78.32,239,77.35,2017-18
1611190130609,1,161119,130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,44,33,26,0,26,78.79,24,0,24,72.73,24,72.73,2017-18
1611190130625,1,161119,130625,S,Alternatives in Action,Alameda Unified,Alameda,34,17,2,0,2,11.76,1,0,1,5.88,1,5.88,2017-18
1611190132142,1,161119,132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,265,0,,,,,,,,,,,2017-18
1611270000000,1,161127,0,D,,Albany City Unified,Alameda,279,166,156,0,156,93.98,148,0,148,89.16,146,87.95,2017-18
1611270130450,1,161127,130450,S,Albany High,Albany City Unified,Alameda,269,166,156,0,156,93.98,148,0,148,89.16,146,87.95,2017-18
1611430000000,1,161143,0,D,,Berkeley Unified,Alameda,878,450,378,1,379,84.22,298,1,299,66.44,294,65.33,2017-18
1611430122697,1,161143,122697,S,REALM Charter High,Berkeley Unified,Alameda,86,45,22,0,22,48.89,13,0,13,28.89,11,24.44,2017-18
1611430131177,1,161143,131177,S,Berkeley High,Berkeley Unified,Alameda,746,404,355,1,356,88.12,284,1,285,70.54,282,69.80,2017-18
1611430134924,1,161143,134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,37,1,*,*,*,*,*,*,*,*,*,*,2017-18
1611500000000,1,161150,0,D,,Castro Valley Unified,Alameda,775,461,425,0,425,92.19,360,0,360,78.09,352,76.36,2017-18
1611500132225,1,161150,132225,S,Castro Valley High,Castro Valley Unified,Alameda,713,461,425,0,425,92.19,360,0,360,78.09,352,76.36,2017-18
1611680000000,1,161168,0,D,,Emery Unified,Alameda,39,25,13,0,13,52.00,6,0,6,24.00,6,24.00,2017-18
1611680132746,1,161168,132746,S,Emery Secondary,Emery Unified,Alameda,39,25,13,0,13,52.00,6,0,6,24.00,6,24.00,2017-18
1611760000000,1,161176,0,D,,Fremont Unified,Alameda,2686,1716,1595,31,1626,94.76,1466,31,1497,87.24,1473,85.84,2017-18
1611760130062,1,161176,130062,S,American High,Fremont Unified,Alameda,484,349,336,3,339,97.13,314,3,317,90.83,312,89.40,2017-18
1611760130138,1,161176,130138,S,Robertson High (Continuation),Fremont Unified,Alameda,101,1,*,*,*,*,*,*,*,*,*,*,2017-18
1611760130435,1,161176,130435,S,Vista Alternative,Fremont Unified,Alameda,10,1,*,*,*,*,*,*,*,*,*,*,2017-18
1611760130534,1,161176,130534,S,Circle of Independent Learning,Fremont Unified,Alameda,74,11,*,*,*,*,*,*,*,*,*,*,2017-18
1611760134270,1,161176,134270,S,Irvington High,Fremont Unified,Alameda,609,436,406,8,414,94.95,392,8,400,91.74,390,89.45,2017-18
1611760134452,1,161176,134452,S,John F. Kennedy High,Fremont Unified,Alameda,390,190,152,0,152,80.00,113,0,113,59.47,109,57.37,2017-18
1611760135244,1,161176,135244,S,Mission San Jose High,Fremont Unified,Alameda,526,429,407,20,427,99.53,401,20,421,98.14,420,97.90,2017-18
1611760138693,1,161176,138693,S,Washington High,Fremont Unified,Alameda,478,299,283,0,283,94.65,238,0,238,79.60,235,78.60,2017-18
1611920000000,1,161192,0,D,,Hayward Unified,Alameda,1655,709,463,0,463,65.30,297,0,297,41.89,278,39.21,2017-18
1611920108670,1,161192,108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,148,135,94,0,94,69.63,66,0,66,48.89,63,46.67,2017-18
1611920113902,1,161192,113902,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,103,104,54,0,54,51.92,33,0,33,31.73,31,29.81,2017-18
1611920127944,1,161192,127944,S,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,27,0,,,,,,,,,,,2017-18
1611920133629,1,161192,133629,S,Hayward High,Hayward Unified,Alameda,362,174,114,0,114,65.52,67,0,67,38.51,61,35.06,2017-18
1611920135319,1,161192,135319,S,Mt. Eden High,Hayward Unified,Alameda,469,202,141,0,141,69.80,91,0,91,45.05,85,42.08,2017-18
1611920138339,1,161192,138339,S,Tennyson High,Hayward Unified,Alameda,353,94,60,0,60,63.83,40,0,40,42.55,38,40.43,2017-18
1612000000000,1,161200,0,D,,Livermore Valley Joint Unified,Alameda,1091,531,492,0,492,92.66,414,0,414,77.97,403,75.89,2017-18
1612000130393,1,161200,130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,53,3,*,*,*,*,*,*,*,*,*,*,2017-18
1612000133397,1,161200,133397,S,Granada High,Livermore Valley Joint Unified,Alameda,513,287,262,0,262,91.29,231,0,231,80.49,220,76.66,2017-18
1612000134536,1,161200,134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,464,231,218,0,218,94.37,175,0,175,75.76,175,75.76,2017-18
1612340000000,1,161234,0,D,,Newark Unified,Alameda,462,203,167,0,167,82.27,107,0,107,52.71,102,50.25,2017-18
1612340130054,1,161234,130054,S,Newark Memorial High,Newark Unified,Alameda,399,203,167,0,167,82.27,107,0,107,52.71,102,50.25,2017-18
1612340130484,1,161234,130484,S,Crossroads High (Alternative),Newark Unified,Alameda,23,0,,,,,,,,,,,2017-18
1612420000000,1,161242,0,D,,New Haven Unified,Alameda,1159,483,409,1,410,84.89,319,1,320,66.25,310,64.18,2017-18
1612420126763,1,161242,126763,S,Decoto School for Independent Study,New Haven Unified,Alameda,57,0,,,,,,,,,,,2017-18
1612420134668,1,161242,134668,S,James Logan High,New Haven Unified,Alameda,976,483,409,1,410,84.89,319,1,320,66.25,310,64.18,2017-18
1612590000000,1,161259,0,D,,Oakland Unified,Alameda,3315,2363,1176,0,1176,49.77,721,0,721,30.51,654,27.68,2017-18
1612590100065,1,161259,100065,S,Oakland Unity High,Oakland Unified,Alameda,72,58,19,0,19,32.76,15,0,15,25.86,11,18.97,2017-18
1612590100701,1,161259,100701,S,MetWest High,Oakland Unified,Alameda,43,44,24,0,24,54.55,7,0,7,15.91,7,15.91,2017-18
1612590106906,1,161259,106906,S,Bay Area Technology,Oakland Unified,Alameda,33,27,13,0,13,48.15,6,0,6,22.22,6,22.22,2017-18
1612590108944,1,161259,108944,S,Lighthouse Community Charter High,Oakland Unified,Alameda,59,54,34,0,34,62.96,24,0,24,44.44,20,37.04,2017-18
1612590110189,1,161259,110189,S,McClymonds High,Oakland Unified,Alameda,73,70,16,0,16,22.86,2,0,2,2.86,2,2.86,2017-18
1612590111856,1,161259,111856,S,American Indian Public High,Oakland Unified,Alameda,69,71,59,0,59,83.10,59,0,59,83.10,53,74.65,2017-18
