Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,206.050003,207.809998,204.520004,207.250000,201.371887,22525500
2018-08-09,209.529999,209.779999,207.199997,208.880005,202.955643,23492600
2018-08-10,207.360001,209.100006,206.669998,207.529999,202.351089,24611200
2018-08-13,209.309998,210.949997,207.699997,208.869995,203.657639,25890900
2018-08-14,210.160004,210.559998,208.259995,209.750000,204.515747,20748000
2018-08-15,209.220001,210.740005,208.330002,210.240005,204.993484,28807600
2018-08-16,211.750000,213.809998,211.470001,213.320007,207.996643,28500400
2018-08-17,213.440002,217.949997,213.160004,217.580002,212.150299,35427000
2018-08-20,218.100006,219.179993,215.110001,215.460007,210.083221,30287700
2018-08-21,216.800003,217.190002,214.029999,215.039993,209.673691,26159800
2018-08-22,214.100006,216.360001,213.839996,215.050003,209.683456,19018100
2018-08-23,214.649994,217.050003,214.600006,215.490005,210.112488,18883200
2018-08-24,216.600006,216.899994,215.110001,216.160004,210.765762,18476400
2018-08-27,217.149994,218.740005,216.330002,217.940002,212.501312,20525100
2018-08-28,219.009995,220.539993,218.919998,219.699997,214.217407,22776800
2018-08-29,220.149994,223.490005,219.410004,222.979996,217.415573,27254800
2018-08-30,223.250000,228.259995,222.399994,225.029999,219.414398,48793800
2018-08-31,226.509995,228.869995,226.000000,227.630005,221.949509,43340100
2018-09-04,228.410004,229.179993,226.630005,228.360001,222.661301,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,221.208511,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,217.532578,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,215.777496,37619800
2018-09-10,220.949997,221.850006,216.470001,218.330002,212.881592,39516500
2018-09-11,218.009995,224.300003,216.559998,223.850006,218.263885,35749000
2018-09-12,224.940002,225.000000,219.839996,221.070007,215.553238,49278700
2018-09-13,223.520004,228.350006,222.570007,226.410004,220.759964,41706400
2018-09-14,225.750000,226.839996,222.520004,223.839996,218.254105,31999300
2018-09-17,222.149994,222.949997,217.270004,217.880005,212.442841,37195100
2018-09-18,217.789993,221.850006,217.119995,218.240005,212.793854,31571700
2018-09-19,218.500000,219.619995,215.300003,218.369995,212.920578,27123800
2018-09-20,220.240005,222.279999,219.149994,220.029999,214.539200,26608800
2018-09-21,220.779999,221.360001,217.289993,217.660004,212.228333,96246700
2018-09-24,216.820007,221.259995,216.630005,220.789993,215.280212,27693400
2018-09-25,219.750000,222.820007,219.699997,222.190002,216.645279,24554400
2018-09-26,221.000000,223.750000,219.759995,220.419998,214.919434,23984700
2018-09-27,223.820007,226.440002,223.539993,224.949997,219.336395,30181200
2018-09-28,224.789993,225.839996,224.020004,225.740005,220.106689,22929400
2018-10-01,227.949997,229.419998,226.350006,227.259995,221.588745,23600800
2018-10-02,227.250000,230.000000,226.630005,229.279999,223.558350,24788200
2018-10-03,230.050003,233.470001,229.779999,232.070007,226.278717,28654800
2018-10-04,230.779999,232.350006,226.729996,227.990005,222.300537,32042000
2018-10-05,227.960007,228.410004,220.580002,224.289993,218.692856,33580500
2018-10-08,222.210007,224.800003,220.199997,223.770004,218.185883,29663900
2018-10-09,223.639999,227.270004,222.250000,226.869995,221.208511,26891000
2018-10-10,225.460007,226.350006,216.050003,216.360001,210.960739,41990600
2018-10-11,214.520004,219.500000,212.320007,214.449997,209.098434,53124400
2018-10-12,220.419998,222.880005,216.839996,222.110001,216.567276,40337900
2018-10-15,221.160004,221.830002,217.270004,217.360001,211.935791,30791000
2018-10-16,218.929993,222.990005,216.759995,222.149994,216.606262,29184000
2018-10-17,222.300003,222.639999,219.339996,221.190002,215.670242,22885400
2018-10-18,217.860001,219.740005,213.000000,216.020004,210.629227,32581300
2018-10-19,218.059998,221.259995,217.429993,219.309998,213.837128,33078700
2018-10-22,219.789993,223.360001,218.940002,220.649994,215.143692,28792100
2018-10-23,215.830002,223.250000,214.699997,222.729996,217.171799,38767800
2018-10-24,222.600006,224.229996,214.539993,215.089996,209.722458,40925500
2018-10-25,217.710007,221.380005,216.750000,219.800003,214.314926,29855800
2018-10-26,215.899994,220.190002,212.669998,216.300003,210.902267,47258400
2018-10-29,219.190002,219.690002,206.089996,212.240005,206.943573,45935500
2018-10-30,211.149994,215.179993,209.270004,213.300003,207.977127,36660000
